ID,DR,G,ND,WD,other
ID_QW9GQM,0.016119827,0.6720875,0.0007847272,0.24876396,0.062243998
ID_G9VPQ9,0.24470498,0.3142983,0.05540484,0.053509332,0.33208257
ID_QIMIEM,0.0016125694,0.79270613,1.2676681e-05,0.20430554,0.0013630401
ID_TSINUQ,0.035902504,0.7757503,0.00074853207,0.17228837,0.015310322
ID_I7OOHH,0.78746396,0.15316316,0.020591563,0.026486939,0.012294489
ID_QG9HRD,0.7211136,0.24650568,0.009400369,0.01097827,0.012002118
ID_4H8KV9,0.063678935,0.7605144,0.01025459,0.15490748,0.010644616
ID_QG7V9L,0.20337442,0.18144886,0.005113392,0.6001047,0.009958615
ID_JD7LXZ,0.030830441,0.8825613,0.0009136805,0.082704395,0.0029902044
ID_SHOLMQ,0.36490867,0.53182995,0.0091769975,0.043090183,0.050994262
ID_33PCW7,0.022873886,0.08371027,0.0011356856,0.8794729,0.012807268
ID_M6GY9M,0.61783963,0.25814092,0.014217664,0.08715101,0.022650803
ID_VQIRFJ,0.007939238,0.28235584,0.00054797245,0.68582165,0.023335274
ID_6R1XNE,0.021528319,0.9143229,0.006010314,0.05628132,0.0018572328
ID_FKC2OS,0.0037033693,0.20579374,0.00077939796,0.7854799,0.0042436305
ID_0JHFOF,0.61452085,0.35615745,0.006503801,0.019832285,0.0029856157
ID_I0FQA2,0.023850106,0.83403057,0.0006127764,0.11286314,0.028643312
ID_DUVQWO,0.7963116,0.0281125,0.1002721,0.06685796,0.008445844
ID_TH5J2W,0.67611754,0.15549392,0.039498374,0.09113871,0.037751548
ID_OSXVWB,0.39237484,0.5042009,0.04312564,0.04940248,0.01089612
ID_0N9CWU,0.28627008,0.031402167,0.011232041,0.6433162,0.027779467
ID_FF1PBK,0.05241719,0.9153545,0.000502225,0.028872943,0.002853166
ID_UHC8IE,0.063551515,0.35575858,0.00320122,0.5731185,0.0043701837
ID_F4N0AP,0.0009475529,0.89441586,5.1547366e-05,0.10289014,0.0016948968
ID_DUICYW,0.0050162785,0.70730615,0.0004227945,0.2577133,0.029541502
ID_8L14AJ,0.090472415,0.65010434,0.00587096,0.12917444,0.12437781
ID_LKQ2J6,0.0076246997,0.98719853,0.00028768607,0.004458959,0.00043005217
ID_LZ4WMI,0.34007642,0.0478866,0.016486261,0.58365846,0.01189231
ID_607DHU,0.0043898267,0.28149247,0.0002662432,0.7093634,0.004488037
ID_NUEM53,0.0042791427,0.045948204,0.00010764827,0.9483427,0.0013222952
ID_KE4OQG,0.07717326,0.84034157,0.0025792045,0.061528664,0.018377302
ID_X38F51,0.9126471,0.06526009,0.01026588,0.009036883,0.0027899444
ID_50N8E5,0.003576409,0.8877325,0.0006263374,0.10321626,0.0048484914
ID_83S89D,0.0028470652,0.62298167,0.00010862289,0.35889637,0.015166178
ID_Y502JL,0.0006670444,0.03944708,2.7289701e-05,0.958886,0.00097266195
ID_1SG38X,0.11367909,0.75362235,0.005169715,0.08945783,0.038070954
ID_MBTN48,0.11369211,0.20127875,0.0040609473,0.66448134,0.016486881
ID_XVOWGU,0.22185569,0.655035,0.004062973,0.11038386,0.008662556
ID_C6FDZO,0.066958025,0.81857437,0.00050566014,0.111538075,0.002423863
ID_OSC2WN,0.00037912402,0.11369839,6.555766e-05,0.87257344,0.013283462
ID_A5HLKA,0.01824302,0.1297972,0.0009227758,0.84726226,0.0037747785
ID_9QRLSH,0.0012161575,0.1507561,0.00013584882,0.81548303,0.03240888
ID_QNW1NG,0.036188506,0.79858184,0.003732683,0.15845157,0.003045362
ID_IKVV79,0.0074523105,0.07287896,0.0003499249,0.9184573,0.00086151867
ID_X5DZFW,0.055446684,0.3768858,0.00016597545,0.5657138,0.0017877497
ID_ZZ9YVT,0.13409434,0.8160689,0.00093287084,0.04589838,0.0030055211
ID_IUFHIE,0.3648566,0.38027787,0.056414664,0.051293015,0.14715785
ID_2CXE6Z,0.016864032,0.6050097,0.0030238484,0.36790246,0.007200018
ID_5ZB9UR,0.82580715,0.051315647,0.024513062,0.09583382,0.002530283
ID_DQ168L,0.029721258,0.88358283,0.00096915086,0.084272385,0.0014543503
ID_ECMHM8,0.0028366453,0.12658425,9.273386e-05,0.86477876,0.005707681
ID_7XHCO7,0.04993196,0.339429,0.0053260014,0.60251564,0.002797436
ID_YWJOQY,0.94042987,0.041396517,0.009844291,0.007611316,0.0007179343
ID_VHT7FC,0.0037814162,0.8366268,0.0008217828,0.11805912,0.040710848
ID_5DX5XW,0.048822343,0.7542586,0.0021175635,0.12428531,0.07051624
ID_B6W5FW,0.9030555,0.08616572,0.0066664717,0.002484002,0.0016282924
ID_A1EF00,0.008433219,0.31728148,0.0002798342,0.6737937,0.00021179234
