ID,DR,G,ND,WD,other
ID_QW9GQM,0.0061376086,0.6916304,0.0010047916,0.2951892,0.0060379524
ID_G9VPQ9,0.23147056,0.48070648,0.06564243,0.021932382,0.20024814
ID_QIMIEM,0.0016905766,0.38071385,0.00016217444,0.61341286,0.0040205526
ID_TSINUQ,0.001613221,0.53222466,0.00017191189,0.46118265,0.004807554
ID_I7OOHH,0.34371716,0.46755847,0.016743492,0.16609646,0.005884357
ID_QG9HRD,0.28379565,0.6749465,0.016031444,0.013068216,0.012158181
ID_4H8KV9,0.17604557,0.19642246,0.018620841,0.6017922,0.0071189604
ID_QG7V9L,0.030675294,0.2333259,0.0036352305,0.48325828,0.2491053
ID_JD7LXZ,0.22184592,0.3464213,0.0108413035,0.41305798,0.00783347
ID_SHOLMQ,0.1411534,0.75502205,0.0063981097,0.08688961,0.010536786
ID_33PCW7,0.22905041,0.06928456,0.014553344,0.6621036,0.02500808
ID_M6GY9M,0.7722935,0.16343634,0.0100233,0.050866358,0.0033804674
ID_VQIRFJ,0.036889784,0.45587406,0.0069155726,0.37501347,0.1253071
ID_6R1XNE,0.015866742,0.81921655,0.0005019702,0.16415772,0.0002570261
ID_FKC2OS,0.010637784,0.37766266,0.0017699696,0.60661864,0.0033109875
ID_0JHFOF,0.29164457,0.66354424,0.0021636188,0.042361602,0.00028595058
ID_I0FQA2,0.23078857,0.61714506,0.017699394,0.08649955,0.047867388
ID_DUVQWO,0.93359375,0.008058369,0.027941689,0.029692467,0.00071374053
ID_TH5J2W,0.4366503,0.24262534,0.014920033,0.30124947,0.0045548826
ID_OSXVWB,0.070229135,0.77037835,0.001387577,0.1569299,0.0010750558
ID_0N9CWU,0.59042627,0.040574223,0.020533422,0.3292937,0.019172424
ID_FF1PBK,0.1454498,0.7842691,0.0062734373,0.05783425,0.0061733765
ID_UHC8IE,0.0021851421,0.22491749,0.00046632838,0.7708811,0.0015499641
ID_F4N0AP,0.006836966,0.5666412,0.0004949051,0.42511287,0.0009139937
ID_DUICYW,0.0012945047,0.1705578,0.00024305307,0.8262371,0.0016675943
ID_8L14AJ,0.15460226,0.6075155,0.01611278,0.19374405,0.028025381
ID_LKQ2J6,0.0009554265,0.9906845,5.1657225e-06,0.008336792,1.8035527e-05
ID_LZ4WMI,0.50982046,0.14583854,0.045239124,0.25082976,0.048272163
ID_607DHU,0.0037200584,0.21282364,0.00033836727,0.7788707,0.0042472165
ID_NUEM53,0.001659502,0.019123375,0.00017435796,0.9774359,0.0016067919
ID_KE4OQG,0.65981966,0.30057153,0.006572128,0.030950336,0.002086397
ID_X38F51,0.8452067,0.13913876,0.0052906713,0.009727355,0.0006366218
ID_50N8E5,0.0067634205,0.4264814,0.0008109683,0.56022143,0.0057227765
ID_83S89D,0.0062225712,0.24853434,0.0009390539,0.72595894,0.018345123
ID_Y502JL,0.0003329238,0.014563415,8.020434e-05,0.97909033,0.0059331246
ID_1SG38X,0.033250883,0.7194462,0.008406947,0.2100261,0.028869864
ID_MBTN48,0.056793835,0.05262004,0.0029019986,0.83897793,0.04870623
ID_XVOWGU,0.0030241578,0.56166,0.0005550155,0.43058336,0.0041774465
ID_C6FDZO,0.0014429495,0.97696847,0.00011625256,0.020760864,0.00071154634
ID_OSC2WN,0.0015096142,0.10141985,0.00023634617,0.8908895,0.0059446977
ID_A5HLKA,0.00043058916,0.25408304,8.5163934e-05,0.74439883,0.0010023956
ID_9QRLSH,0.011193405,0.23104747,0.0020742565,0.67153543,0.08414939
ID_QNW1NG,0.011157439,0.69222146,0.0015643965,0.29252678,0.0025299273
ID_IKVV79,0.0036156233,0.0067667533,0.0003524613,0.9884249,0.00084025
ID_X5DZFW,0.028297205,0.1391058,0.00097106426,0.8291838,0.0024421983
ID_ZZ9YVT,0.20968062,0.68059355,0.0029134825,0.104298696,0.0025137078
ID_IUFHIE,0.1494929,0.7270378,0.007994816,0.06765248,0.047821984
ID_2CXE6Z,0.0109013785,0.43093732,0.0021484531,0.54814637,0.007866472
ID_5ZB9UR,0.17677414,0.16589369,0.0067045395,0.64787525,0.002752371
ID_DQ168L,0.0013428717,0.9401087,2.7209391e-05,0.058418706,0.000102487196
ID_ECMHM8,0.011352854,0.0808147,0.00080591015,0.88951737,0.017509129
ID_7XHCO7,0.028352115,0.1435452,0.0040048733,0.82160956,0.002488299
ID_YWJOQY,0.99230677,0.0073901643,0.00014218556,0.00015891652,1.9527465e-06
ID_VHT7FC,0.006583105,0.51844436,0.0009886939,0.4400236,0.033960246
ID_5DX5XW,0.012963465,0.6736977,0.000928901,0.3074022,0.005007778
ID_B6W5FW,0.9256474,0.06142715,0.009847171,0.002789736,0.0002885926
ID_A1EF00,0.00027716008,0.34044185,0.00017826461,0.65880096,0.00030174648
ID_PF4UDD,0.0040343907,0.14895816,0.00039546177,0.8457382,0.000873728
ID_QYSXKB,0.90104157,0.07257661,0.022426339,0.002897663,0.0010577681
ID_SK5CR9,0.660644,0.27197874,0.027793137,0.034977656,0.0046064733
ID_UVDZWU,0.028127875,0.74678093,0.0025461412,0.17672923,0.045815837
ID_14YUIO,0.0030250251,0.2927592,0.0004823774,0.6834785,0.02025497
